term,sumsq,df,statistic,p.value,iteration
mgmt,5.218023259113352,1,1.5183303799180812,0.21972629593975598,1
mgmt,5.466059215125142,1,1.4461996233235916,0.23096083872307663,2
mgmt,8.391393136850866,1,2.247955881870696,0.13581202051032898,3
mgmt,4.735787589015899,1,1.2383226658155606,0.26750638251287967,4
mgmt,0.011378223416954825,1,0.003193038904964037,0.9550102441411664,5
mgmt,4.407692490767431,1,1.1666435960194064,0.28175901931392316,6
mgmt,2.0352780769372885,1,0.5761353798741623,0.4489764868913727,7
mgmt,18.375464181893335,1,5.653453770380764,0.01863226221756221,8
mgmt,3.461115661995109,1,1.0311707991823427,0.31145618137556275,9
mgmt,0.7701725663603156,1,0.22412422655546144,0.636577085304955,10
mgmt,10.87037063940079,1,3.105761383501248,0.07997423367639694,11
mgmt,6.623411716640476,1,1.7322687933716419,0.19005205782552473,12
mgmt,4.509095265548353,1,1.0744856015474995,0.30153854818475395,13
mgmt,9.737416765085413,1,2.5350752730234904,0.11336586592636565,14
mgmt,7.1803730522815385,1,2.1387737579144894,0.14562834023388546,15
mgmt,9.98935849352813,1,2.514827676838568,0.11480493721675333,16
mgmt,4.505033880312226,1,1.0594665334619213,0.30493013592167045,17
mgmt,9.570310746466816,1,2.8996024270415073,0.09059298901518578,18
mgmt,5.474076780072664,1,1.5199945198966853,0.2194749849830077,19
mgmt,23.72724425663864,1,5.628093608762628,0.018893920527079187,20
mgmt,0.03771339077684388,1,0.010663544538231358,0.9178857282272462,21
mgmt,5.2379286833566425,1,1.8009120091126734,0.1815522323526365,22
mgmt,8.511702104365838,1,2.654479236738909,0.10527623790921585,23
mgmt,3.6522038961712724,1,0.9373894782043711,0.3344487522215942,24
mgmt,0.07808940298139078,1,0.019788659682753795,0.8883104075937257,25
mgmt,23.31549504612599,1,6.2065248761722565,0.013774412096004527,26
mgmt,2.8630408195658674,1,0.652141220194754,0.42057779596639655,27
mgmt,13.69531887021651,1,3.445224969496513,0.06532114089688194,28
mgmt,9.033828264111321,1,2.5844238043616232,0.10994175051053275,29
mgmt,7.836711831070261,1,1.9994782107442393,0.15934596016825817,30
mgmt,6.483975957366965,1,1.7368936983413408,0.18946492298163398,31
mgmt,14.790985554927033,1,4.216979977041339,0.041690999147815745,32
mgmt,4.830204737231838,1,1.2512994686980539,0.26502397457363613,33
mgmt,0.38339987522385854,1,0.10331309269217906,0.7483196926717561,34
mgmt,10.685986096597048,1,3.0248852603426575,0.08396868560103084,35
mgmt,24.484745658779957,1,6.283671922749217,0.013209980611589905,36
mgmt,2.098629027184529,1,0.5636146352866189,0.45393842216810665,37
mgmt,1.6946239604924358,1,0.3555793202819307,0.5518359693138343,38
mgmt,9.997432653807095,1,2.46033733158619,0.11877987207987442,39
mgmt,0.32294148648702503,1,0.08214008444402232,0.7747981966772522,40
mgmt,15.450041409196729,1,3.897897314363513,0.05011217001497348,41
mgmt,22.09864246178745,1,5.714733782186951,0.018015491020291777,42
mgmt,19.523195601250222,1,4.942144476778942,0.02764699627104645,43
mgmt,6.504888555331604,1,1.7738566166895349,0.18484814968923827,44
mgmt,4.9724736159555505,1,1.4387807997844362,0.23215538099255986,45
mgmt,13.384865141759064,1,4.405019173732411,0.03744394752138797,46
